,name,rating,location,price
0,Hostal Operaramblas,8.6,"Sant Pau, 20, Ciutat Vella, 08001 Barcelona, Spain","€ 1,082"
1,Catalonia Magdalenes,9.1,"Magdalenes, 13-15, Ciutat Vella, 08002 Barcelona, Spain","€ 1,410"
2,Onix Rambla,8.4,"Rambla Cataluña, 24, Eixample, 08007 Barcelona, Spain","€ 1,046"
3,Catalonia Port,8.6,"Ample, 1 (Plaça Duc de Medinaceli), Ciutat Vella, 08002 Barcelona, Spain","€ 1,320"
4,Duquesa Suites Barcelona,8.7,"Plaça Antonio López 5, Ciutat Vella, 08002 Barcelona, Spain","€ 1,455"
5,Catalonia Catedral,9.0,"Arcs, 10, Ciutat Vella, 08002 Barcelona, Spain","€ 1,480"
6,Casa Elliot by Bondia Hotel Group,8.8,"Sepúlveda, 180, Eixample, 08011 Barcelona, Spain","€ 1,263"
7,Gallery Hotel,8.9,"Rosselló, 249, Eixample, 08008 Barcelona, Spain","€ 1,541"
8,Catalonia Avinyo,8.5,"Avinyo,16, Ciutat Vella, 08002 Barcelona, Spain","€ 1,014"
9,"Hotel Granados 83, a Member of Design Hotels",8.6,"Enrique Granados, 83, Eixample, 08008 Barcelona, Spain","€ 1,306"
10,Hostal Benidorm,8.3,"Rambla dels Caputxins, 37, Ciutat Vella, 08002 Barcelona, Spain",€ 864
11,Catalonia Square 4* Sup,9.0,"Ronda Sant Pere, 9, Eixample, 08010 Barcelona, Spain","€ 1,650"
12,Hotel Paxton Barcelona,8.7,"160 Carrer de Llull, Sant Martí, 08005 Barcelona, Spain","€ 1,938"
13,Royal Ramblas,8.0,"Las Ramblas, 117, Ciutat Vella, 08002 Barcelona, Spain","€ 1,516"
14,Catalonia Roma,8.1,"Avenida Roma, 31, Eixample, 08029 Barcelona, Spain",€ 884
15,Catalonia Gran Via BCN,8.7,"Gran Via, 550, Eixample, 08011 Barcelona, Spain","€ 1,130"
16,Hotel Balmes,8.4,"Mallorca, 216, Eixample, 08008 Barcelona, Spain","€ 1,236"
17,ICON Bcn,8.9,"Roger De Lluria, 21 (Esq. Gran Via, 662), Eixample, 08037 Barcelona, Spain","€ 1,603"
18,Catalonia Atenas,8.1,"Avenida Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",€ 980
19,Golden Hotel Barcelona,8.4,"Calle Ávila, 135-139, Sant Martí, 08018 Barcelona, Spain","€ 1,325"
20,Catalonia Rigoletto,8.5,"Sabino de Arana, 22-24, Les Corts, 08028 Barcelona, Spain",€ 840
21,Mercure Barcelona Condor,8.3,"Vía Augusta, 127, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,880"
22,Petit Palace Boqueria Garden,8.2,"Boquería, 10, Ciutat Vella, 08002 Barcelona, Spain","€ 1,944"
23,Sansi Pedralbes,9.5,"Avenida Pearson, 1-3, Les Corts, 08034 Barcelona, Spain","€ 1,610"
24,Atenea Rekord Suites,8.5,"Muntaner, 352, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,067"
25,BCN Urbaness Hotels Del Comte,8.0,"Diputació, 142, Eixample, 08015 Barcelona, Spain",€ 895
26,Hesperia Barcelona Barri Gòtic,8.0,"Ample, 31, Ciutat Vella, 08002 Barcelona, Spain","€ 1,178"
27,Ofelias Hotel 4* Sup,8.6,"Llançà, 24, Eixample, 08015 Barcelona, Spain","€ 1,263"
28,Ohla Barcelona,8.9,"Via Laietana, 49, Ciutat Vella, 08003 Barcelona, Spain","€ 2,506"
29,Isabella's House,8.7,"50 Carrer de Ganduxer, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,261"
30,Room Mate Pau,9.2,"Fontanella, 7, Eixample, 08010 Barcelona, Spain","€ 1,710"
31,Andante Hotel,8.6,"Avenida de les Drassanes, 23-25, Ciutat Vella, 08001 Barcelona, Spain","€ 1,053"
32,Exe Ramblas Boquería,8.3,"Rambla de Sant Josep, 91-93, Ciutat Vella, 08002 Barcelona, Spain","€ 1,694"
33,Hotel Barcelona Catedral,8.6,"Capellans, 4, Ciutat Vella, 08002 Barcelona, Spain","€ 1,500"
34,Chic & Basic Velvet,8.1,"Consell de Cent, 74, Eixample, 08015 Barcelona, Spain",€ 881
35,Bonanova Suite,8.5,"Bisbe Sivilla, 7, Sarrià-St. Gervasi, 08022 Barcelona, Spain","€ 1,072"
36,Suites Avenue,9.0,"Passeig de Gracia, 83, Eixample, 08008 Barcelona, Spain","€ 1,550"
37,Condes de Barcelona,8.8,"Paseo de Gracia, 73, Eixample, 08008 Barcelona, Spain","€ 1,324"
38,Novotel Barcelona City,8.1,"Avenida Diagonal 201, Sant Martí, 08018 Barcelona, Spain","€ 1,059"
39,"The Hoxton, Poblenou",8.7,"Avenida Diagonal, 205, Sant Martí, 08018 Barcelona, Spain","€ 2,289"
40,Hotel & Spa Villa Olimpica Suites,8.0,"Pallars, 121-125, Sant Martí, 08018 Barcelona, Spain","€ 1,515"
41,Hotel Casa Sagnier,9.2,"Rambla de Catalunya 104, Eixample, 08008 Barcelona, Spain","€ 1,903"
42,"Claris Hotel & Spa GL, a Small Luxury Hotel of the World",8.4,"Pau Claris, 150, Eixample, 08009 Barcelona, Spain","€ 1,593"
43,Hotel Via Augusta,8.5,"Vía Augusta, 63, Sarrià-St. Gervasi, 08006 Barcelona, Spain",€ 992
44,Anima Apartments Sants,8.3,"37 Carrer del Tinent Flomesta, Sants-Montjuïc, 08028 Barcelona, Spain",€ 834
45,The Moods Oasis,8.7,"72 Travessera de Gràcia, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,024"
46,Park Hotel,8.3,"Avenida Marques de Argentera, 11, Ciutat Vella, 08003 Barcelona, Spain","€ 1,508"
47,Yomo Hostal BCN Port,7.8,"Avinguda Paral·lel, 15, Sants-Montjuïc, 08004 Barcelona, Spain",€ 970
48,Ciutat Vella,8.2,"Tallers, 66, Ciutat Vella, 08001 Barcelona, Spain","€ 1,284"
49,Bcn Urbaness Hotels Gran Rosellon,8.0,"Rosellón, 174-176, Eixample, 08036 Barcelona, Spain","€ 1,289"
50,Hotel Brummell,9.1,"Nou de la Rambla, 174, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,385"
51,The Moods Catedral Hostal Boutique,8.6,"Plaza Ramon Berenguer El Grande, 2, con esquina Via Layetana., Ciutat Vella, 08002 Barcelona, Spain","€ 1,197"
52,Silken Ramblas,8.1,"Pintor Fortuny, 13, Ciutat Vella, 08001 Barcelona, Spain","€ 1,380"
53,AC Hotel Sants by Marriott,8.2,"Passeig de Sant Antoni, 36-40, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,060"
54,Hotel Miramar Barcelona GL,7.9,"Plaza Carlos Ibañez, 3, Sants-Montjuïc, 08038 Barcelona, Spain","€ 1,410"
55,Barcelona Apartment Val,8.1,"València, 284, Eixample, 08007 Barcelona, Spain","€ 1,718"
56,Oriente Atiram,7.8,"Ramblas, 45, Ciutat Vella, 08002 Barcelona, Spain","€ 1,047"
57,Aparthotel Arai 4* Superior,8.9,"Avinyo, 30, Ciutat Vella, 08002 Barcelona, Spain","€ 2,184"
58,Olivia Plaza Hotel,9.3,"Plaza de Catalunya, 19, Ciutat Vella, 08002 Barcelona, Spain","€ 1,902"
59,Hotel 1898,9.0,"La Rambla, 109, Ciutat Vella, 08002 Barcelona, Spain","€ 1,701"
60,Express by gaiarooms,7.1,"Riera De Sant Miquel, 74, Gràcia, 08006 Barcelona, Spain","€ 1,177"
61,Sofitel Barcelona Skipper,8.9,"Avenida Litoral, 10, Ciutat Vella, 08005 Barcelona, Spain","€ 2,230"
62,Occidental Barcelona 1929,9.0,"Carrer de la Creu Coberta 20-22, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,284"
63,Acta Atrium Palace,8.2,"Gran Via Corts Catalanes, 656, Eixample, 08010 Barcelona, Spain","€ 1,264"
64,Hotel Sagrada Familia,8.3,"Córcega, 541, Eixample, 08025 Barcelona, Spain",€ 825
65,Niu Barcelona Hotel,8.2,"8 Rambla del Raval, Ciutat Vella, 08001 Barcelona, Spain","€ 1,272"
66,Negresco Princess 4* Sup,8.0,"Roger de Lluria, 16-18, Eixample, 08010 Barcelona, Spain","€ 1,349"
67,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World",8.7,"Loreto, 28, Les Corts, 08029 Barcelona, Spain","€ 1,006"
68,Hotel Vilamarí,8.1,"Vilamari, 34-36, Eixample, 08015 Barcelona, Spain",€ 858
69,Seventy Barcelona,9.3,"344 Carrer de Còrsega, Eixample, 08037 Barcelona, Spain","€ 1,355"
70,Acta BCN 40,8.3,"Joaquin Costa, 40, Ciutat Vella, 08001 Barcelona, Spain",€ 909
71,NH Barcelona Diagonal Center,7.9,"Alaba, 94, Sant Martí, 08018 Barcelona, Spain","€ 1,126"
72,Barceló Raval,8.3,"Rambla del Raval, 17-21, Ciutat Vella, 08001 Barcelona, Spain","€ 1,155"
73,NH Collection Barcelona Podium,8.6,"Bailén, 4-6, Eixample, 08010 Barcelona, Spain","€ 1,597"
74,NH Collection Barcelona Constanza,8.5,"Déu i Mata, 66-99, Les Corts, 08029 Barcelona, Spain","€ 1,148"
75,Acta Antibes,8.6,"Diputació, 394, Eixample, 08013 Barcelona, Spain",€ 857
76,Aparthotel Arai 4* Superior,8.9,"Avinyo, 30, Ciutat Vella, 08002 Barcelona, Spain","€ 2,184"
77,The Moods Catedral Hostal Boutique,8.6,"Plaza Ramon Berenguer El Grande, 2, con esquina Via Layetana., Ciutat Vella, 08002 Barcelona, Spain","€ 1,197"
78,Occidental Barcelona 1929,9.0,"Carrer de la Creu Coberta 20-22, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,284"
79,Acta Atrium Palace,8.2,"Gran Via Corts Catalanes, 656, Eixample, 08010 Barcelona, Spain","€ 1,264"
80,Oriente Atiram,7.8,"Ramblas, 45, Ciutat Vella, 08002 Barcelona, Spain","€ 1,047"
81,Sofitel Barcelona Skipper,8.9,"Avenida Litoral, 10, Ciutat Vella, 08005 Barcelona, Spain","€ 2,230"
82,Express by gaiarooms,7.1,"Riera De Sant Miquel, 74, Gràcia, 08006 Barcelona, Spain","€ 1,177"
83,Hotel 1898,9.0,"La Rambla, 109, Ciutat Vella, 08002 Barcelona, Spain","€ 1,701"
84,Cuatro Naciones,8.3,"La Rambla, 40, Ciutat Vella, 08002 Barcelona, Spain",€ 762
85,Hotel Sagrada Familia,8.3,"Córcega, 541, Eixample, 08025 Barcelona, Spain",€ 825
86,Niu Barcelona Hotel,8.2,"8 Rambla del Raval, Ciutat Vella, 08001 Barcelona, Spain","€ 1,272"
87,ME Barcelona,9.2,"Carrer de Casp 1-13, Eixample, 08010 Barcelona, Spain","€ 2,453"
88,Hotel Vilamarí,8.1,"Vilamari, 34-36, Eixample, 08015 Barcelona, Spain",€ 858
89,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World",8.7,"Loreto, 28, Les Corts, 08029 Barcelona, Spain","€ 1,218"
90,Acta BCN 40,8.3,"Joaquin Costa, 40, Ciutat Vella, 08001 Barcelona, Spain",€ 909
91,Negresco Princess 4* Sup,8.0,"Roger de Lluria, 16-18, Eixample, 08010 Barcelona, Spain","€ 1,349"
92,"Hotel Barcelona Apolo, Affiliated by Meliá",8.3,"Avenida Paralelo, 57-59, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,205"
93,NH Barcelona Diagonal Center,7.9,"Alaba, 94, Sant Martí, 08018 Barcelona, Spain","€ 1,126"
94,Ilunion Les Corts Spa,7.8,"Cardenal Reig, 11, Les Corts, 08028 Barcelona, Spain","€ 1,449"
95,Barceló Raval,8.3,"Rambla del Raval, 17-21, Ciutat Vella, 08001 Barcelona, Spain","€ 1,155"
96,Hotel Jazz,9.0,"Pelai, 3, Eixample, 08001 Barcelona, Spain","€ 1,248"
97,NH Collection Barcelona Constanza,8.5,"Déu i Mata, 66-99, Les Corts, 08029 Barcelona, Spain","€ 1,148"
98,NH Collection Barcelona Podium,8.6,"Bailén, 4-6, Eixample, 08010 Barcelona, Spain","€ 1,597"
99,Leonardo Hotel Barcelona Las Ramblas,8.1,"Junta de Comercio, 8,10,12, Ciutat Vella, 08001 Barcelona, Spain",€ 970
100,Barcelona Apartment Republica,7.7,"Pujades, 120, Sant Martí, 08003 Barcelona, Spain","€ 1,863"
101,AC Hotel Diagonal L'Illa by Marriott,8.6,"Avenida Diagonal, 555, Les Corts, 08029 Barcelona, Spain","€ 1,331"
102,H10 Itaca,8.4,"Avenida Roma, 22-30, Eixample, 08015 Barcelona, Spain","€ 1,046"
103,Barcelona Apartment Milà,8.0,"Milà i Fontanals, 55, Gràcia, 08012 Barcelona, Spain","€ 1,597"
104,Occidental Atenea Mar - Adults Only,8.2,"Paseo García Faria, 37-47, Sant Martí, 08019 Barcelona, Spain","€ 1,695"
105,Hotel Serhs del Port,7.9,"Avenida Paralelo, 40, Ciutat Vella, 08001 Barcelona, Spain",€ 862
106,Hotel España Ramblas,8.4,"Sant Pau, 9-11, Ciutat Vella, 08001 Barcelona, Spain","€ 1,320"
107,Fisa Rentals Ramblas Apartments,8.4,"Pelai, 11, Eixample, 08001 Barcelona, Spain","€ 1,556"
108,The Barcelona EDITION,8.9,"Avinguda Francesc Cambo 14, Ciutat Vella, 08003 Barcelona, Spain","€ 2,347"
109,"Grand Hotel Central, Small Luxury Hotels",8.8,"Via Laietana, 30, Ciutat Vella, 08003 Barcelona, Spain","€ 1,716"
110,Acta Voraport,8.7,"Carrer de Ramon Turró 169-B, Sant Martí, 08005 Barcelona, Spain","€ 1,738"
111,Ona Hotels Mosaic,8.8,"84 Rambla de Catalunya, Eixample, 08008 Barcelona, Spain","€ 1,194"
112,Aparthotel Atenea Calabria,8.2,"Calabria, 129-131, Eixample, 08015 Barcelona, Spain","€ 1,095"
113,Residencia Universitaria Campus del Mar,7.5,"Passeig Salvat Papasseit, 4, Ciutat Vella, 08003 Barcelona, Spain",€ 920
114,NH Collection Barcelona Gran Hotel Calderon,8.2,"Rambla Catalunya, 26, Eixample, 08007 Barcelona, Spain","€ 1,536"
115,Urbany Hotel BCN GO!,7.1,"Gran Via de les Corts Catalanes, 563, Eixample, 08007 Barcelona, Spain",€ 847
116,Leonardo Hotel Barcelona Gran Via,8.6,"Diputacio, 100, Eixample, 08015 Barcelona, Spain",€ 876
117,"Hotel SOFIA Barcelona, in The Unbound Collection by Hyatt",8.6,"Placa de Pius XII, 4, Les Corts, 08028 Barcelona, Spain","€ 1,412"
118,Àmfores Boutique Guest House,8.1,"Carrer del Bou de Sant Pere 9, Ciutat Vella, 08003 Barcelona, Spain","€ 1,384"
119,"InterContinental Barcelona, an IHG Hotel",8.9,"Avenida Rius y Taulet, 1-3, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,715"
120,Ocean Drive Barcelona,8.8,"Carrer d'Aragó, 300, Eixample, 08009 Barcelona, Spain","€ 3,026"
121,Sunotel Aston,6.8,"Paris, 101, Eixample, 08029 Barcelona, Spain",€ 762
122,Hostal Oliva,8.8,"Passeig De Gràcia, 32  4º, Eixample, 08007 Barcelona, Spain",€ 964
123,Hilton Diagonal Mar Barcelona,7.5,"Passeig del Taulat, 262 264, Sant Martí, 08019 Barcelona, Spain","€ 1,905"
124,Hotel Royal Passeig de Gracia,8.4,"Passeig de Gracia, 84, Eixample, 08008 Barcelona, Spain","€ 1,546"
125,Chic & Basic Tallers Hostal,7.2,"Tallers, 82, Ciutat Vella, 08001 Barcelona, Spain",€ 835
126,Hotel Brick Barcelona,8.8,"304 Gran Via de les Corts Catalanes, Sants-Montjuïc, 08004 Barcelona, Spain",€ 969
127,Sunotel Junior,6.9,"Avenida Sarrià, 9, Eixample, 08029 Barcelona, Spain",€ 699
128,Acta Splendid,8.6,"Muntaner, 2, Eixample, 08011 Barcelona, Spain","€ 1,285"
129,Hotel Granvia,8.9,"Gran Via Corts Catalanes, 642, Eixample, 08007 Barcelona, Spain","€ 1,203"
130,B Hotel,8.7,"Gran Vía, 389, Eixample, 08015 Barcelona, Spain","€ 1,034"
131,Best Western Premier Hotel Dante,8.7,"Mallorca, 181, Eixample, 08036 Barcelona, Spain","€ 1,920"
132,Unite Hostel Barcelona,8.3,"Avinguda Icària 145, Sant Martí, 08005 Barcelona, Spain","€ 1,438"
133,"Kimpton Vividora Hotel, an IHG Hotel",8.9,"Carrer del Duc, 15, Ciutat Vella, 08002 Barcelona, Spain","€ 1,699"
134,Expo Hotel Barcelona,7.2,"Mallorca, 1-23, Sants-Montjuïc, 08014 Barcelona, Spain",€ 913
135,Chic & Basic Lemon Boutique Hotel,8.4,"Pelai, 6, Ciutat Vella, 08001 Barcelona, Spain","€ 1,023"
136,chic&basic Habana Hoose,8.5,"Calle Argenteria 37, Ciutat Vella, 08003 Barcelona, Spain","€ 1,256"
137,Hotel Serhs Rivoli Rambla,7.9,"La Rambla, 128, Ciutat Vella, 08002 Barcelona, Spain","€ 1,206"
138,Barcelona Apartment Aramunt,7.6,"Muntaner, 60, Eixample, 08011 Barcelona, Spain","€ 1,788"
139,Sercotel Hotel Rosellon,8.5,"Rosselló, 390, Eixample, 08025 Barcelona, Spain","€ 1,470"
140,Mothern by Pillow,8.1,"Ronda Sant Pere, 15, Eixample, 08010 Barcelona, Spain","€ 1,203"
141,BacHome Terrace B&B,8.3,"Bruc, 14, Eixample, 08010 Barcelona, Spain","€ 1,184"
142,Inside Barcelona Apartments Sants,8.7,"Riego, 39, Sants-Montjuïc, 08014 Barcelona, Spain",€ 912
143,Occidental Diagonal 414,8.8,"414 Avinguda Diagonal, Eixample, 08037 Barcelona, Spain","€ 1,236"
144,Catalonia Passeig de Gràcia 4* Sup,9.0,"Gran Via de les Corts Catalanes, 644, Eixample, 08007 Barcelona, Spain","€ 1,350"
145,Chic & Basic Born Boutique Hotel,7.9,"Princesa, 50, Ciutat Vella, 08003 Barcelona, Spain","€ 1,128"
146,Hotel Laumon,8.2,"Monlau, 8-10, Sant Andreu, 08027 Barcelona, Spain",€ 904
147,Exe Cristal Palace,7.6,"Diputació, 257, Eixample, 08007 Barcelona, Spain","€ 1,237"
148,"Alexandra Barcelona Hotel, Curio Collection by Hilton",8.2,"Mallorca, 251, Eixample, 08008 Barcelona, Spain","€ 1,597"
149,Hotel Arts Barcelona,8.4,"Marina, 19-21, 08005 Barcelona, Spain","€ 2,640"
150,Barcelona Apartment Aramunt,7.6,"Muntaner, 60, Eixample, 08011 Barcelona, Spain","€ 1,788"
151,Inside Barcelona Apartments Sants,8.7,"Riego, 39, Sants-Montjuïc, 08014 Barcelona, Spain",€ 912
152,chic&basic Habana Hoose,8.5,"Calle Argenteria 37, Ciutat Vella, 08003 Barcelona, Spain","€ 1,256"
153,BacHome Terrace B&B,8.3,"Bruc, 14, Eixample, 08010 Barcelona, Spain","€ 1,184"
154,Occidental Diagonal 414,8.8,"414 Avinguda Diagonal, Eixample, 08037 Barcelona, Spain","€ 1,236"
155,Sercotel Hotel Rosellon,8.5,"Rosselló, 390, Eixample, 08025 Barcelona, Spain","€ 1,470"
156,Mothern by Pillow,8.1,"Ronda Sant Pere, 15, Eixample, 08010 Barcelona, Spain","€ 1,203"
157,Capri by Fraser Barcelona,8.5,"Sancho de Ávila, 32-34, Sant Martí, 08018 Barcelona, Spain",€ 916
158,Barcelona Apartment Gran de Gràcia,7.8,"Gran de Gràcia, 205, Gràcia, 08012 Barcelona, Spain","€ 1,569"
159,Hotel Serhs Rivoli Rambla,7.9,"La Rambla, 128, Ciutat Vella, 08002 Barcelona, Spain","€ 1,206"
160,Aparthotel Allada 3*,7.7,"Allada i Vermell, 6-8, Ciutat Vella, 08003 Barcelona, Spain","€ 1,483"
161,Chic & Basic Born Boutique Hotel,7.9,"Princesa, 50, Ciutat Vella, 08003 Barcelona, Spain","€ 1,128"
162,Hotel Laumon,8.2,"Monlau, 8-10, Sant Andreu, 08027 Barcelona, Spain",€ 904
163,Exe Cristal Palace,7.6,"Diputació, 257, Eixample, 08007 Barcelona, Spain","€ 1,237"
164,Som Nit Port Vell,8.6,"Reina Cristina, 2 Pral, Ciutat Vella, 08003 Barcelona, Spain","€ 1,141"
165,Hotel 54 Barceloneta,8.1,"Passeig Joan de Borbó, 54, Ciutat Vella, 08003 Barcelona, Spain","€ 1,351"
166,"Alexandra Barcelona Hotel, Curio Collection by Hilton",8.2,"Mallorca, 251, Eixample, 08008 Barcelona, Spain","€ 1,597"
167,Pestana Arena Barcelona,8.4,"Consell de Cent, 51-53, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,098"
168,Hotel Market,7.7,"Comte Borrell , 68, Eixample, 08015 Barcelona, Spain","€ 1,475"
169,Grupotel Gravina,8.2,"Gravina, 12, Ciutat Vella, 08001 Barcelona, Spain",€ 926
170,Hotel Arts Barcelona,8.4,"Marina, 19-21, 08005 Barcelona, Spain","€ 2,640"
171,Hesperia Barcelona Presidente,8.4,"Avenida Diagonal, 570, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,114"
172,Hotel Barcelona Universal,8.4,"Avinguda Paral.lel, 76-78, Ciutat Vella, 08001 Barcelona, Spain","€ 1,203"
173,Zenit Barcelona,8.2,"Santaló, 8, Sarrià-St. Gervasi, 08021 Barcelona, Spain",€ 761
174,Barcelona Apartment Republica,7.7,"Pujades, 120, Sant Martí, 08003 Barcelona, Spain","€ 1,863"
175,Hotel HLG CityPark Pelayo,7.2,"Calle Pelayo, 1, Eixample, 08001 Barcelona, Spain",€ 882
176,HCC St. Moritz,8.6,"Diputació, 262-264, Eixample, 08007 Barcelona, Spain","€ 1,018"
177,Som Nit Born,8.1,"Reina Cristina, 13, Ciutat Vella, 08003 Barcelona, Spain","€ 1,068"
178,Suites Center Barcelona,9.0,"Passeig de Gràcia, 128, Gràcia, 08008 Barcelona, Spain","€ 1,707"
179,Four Points by Sheraton Barcelona Diagonal,8.8,"Diagonal, 161, Sant Martí, 08018 Barcelona, Spain","€ 1,836"
180,Hotel America Barcelona,8.5,"Provenza, 195, Eixample, 08008 Barcelona, Spain","€ 1,173"
181,Grums Hotel & Spa,8.3,"Palaudàries, 26, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,164"
182,Room Mate Gerard,8.9,"Ausiàs Marc, 34, Eixample, 08010 Barcelona, Spain","€ 1,409"
183,U232 Hotel,8.8,"Comte d'Urgell, 232, Eixample, 08036 Barcelona, Spain","€ 1,059"
184,Hotel Barcelona Center,8.6,"Balmes, 103-105, Eixample, 08008 Barcelona, Spain","€ 1,399"
185,Citadines Ramblas Barcelona,8.6,"Las Ramblas, 122, Ciutat Vella, 08002 Barcelona, Spain","€ 1,480"
186,Europark,8.7,"Aragon, 325, Eixample, 08009 Barcelona, Spain","€ 1,175"
187,Hotel Concordia Barcelona,8.1,"Paral·lel, 115, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,482"
188,NH Barcelona Eixample,8.1,"Valencia, 105-107, Eixample, 08011 Barcelona, Spain","€ 1,075"
189,Barcelona Apartment Villarroel,8.2,"Villarroel, 163, Eixample, 08036 Barcelona, Spain","€ 1,550"
190,Som Nit Triomf,7.9,"Trafalgar, 39, 4º, Eixample, 08010 Barcelona, Spain","€ 1,103"
191,Hotel El Palace Barcelona,9.4,"Gran Via de les Corts Catalanes, 668, Eixample, 08010 Barcelona, Spain","€ 2,269"
192,Barcelona Apartment Gran de Gràcia,7.8,"Gran de Gràcia, 205, Gràcia, 08012 Barcelona, Spain","€ 1,569"
193,Best Western Plus Hotel Alfa Aeropuerto,8.4,"Calle K, s/n (Entrada principal Mercabarna), Sants-Montjuïc, 08040 Barcelona, Spain",€ 765
194,Aparthotel Allada 3*,7.7,"Allada i Vermell, 6-8, Ciutat Vella, 08003 Barcelona, Spain","€ 1,483"
195,Mihlton Barcelona Boutique B&B,8.7,"Carrer del Rosselló 231, Principal 2ª, Eixample, 08008 Barcelona, Spain","€ 1,324"
196,Ako Suites Hotel,8.3,"Diputació, 195, Eixample, 08011 Barcelona, Spain","€ 1,322"
197,NH Barcelona Entenza,8.3,"Equador, 20, Les Corts, 08029 Barcelona, Spain","€ 1,042"
198,Sixties Ramblas,8.4,"Passatge Gutenberg, 7, Ciutat Vella, 08001 Barcelona, Spain","€ 1,329"
199,Eurostars Grand Marina Hotel GL,8.1,"Moll de Barcelona WTC, Ciutat Vella, 08039 Barcelona, Spain","€ 2,225"
200,AinB Gothic-Jaume I Apartments,6.4,"Calle Jaume 1, 13, Ciutat Vella, 08002 Barcelona, Spain",€ 985
201,Vincci Gala,8.7,"Ronda Sant Pere, 32, Eixample, 08010 Barcelona, Spain","€ 3,858"
202,B-Garden BCN,8.8,"Bailen, 42, Eixample, 08010 Barcelona, Spain","€ 1,001"
203,Catalonia Atenas,8.1,"Avenida Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",€ 980
204,Almanac Barcelona,8.8,"Gran Via de les Corts Catalanes 619-621, Eixample, 08007 Barcelona, Spain","€ 2,292"
205,RAMBLAS HOTEL powered by Vincci Hoteles,8.3,"Hospital, 26, Ciutat Vella, 08001 Barcelona, Spain","€ 2,722"
206,Catalonia Castellnou,8.3,"Castellnou, 61, Sarrià-St. Gervasi, 08017 Barcelona, Spain",€ 744
207,NH Sants Barcelona,8.5,"Numancia, 74, Les Corts, 08029 Barcelona, Spain","€ 1,088"
208,Hesperia Barcelona Del Mar,8.0,"Espronceda, 6, Sant Martí, 08005 Barcelona, Spain","€ 1,643"
209,NH Barcelona Stadium,8.1,"Travessera de les Corts, 150-152, Les Corts, 08028 Barcelona, Spain",€ 960
210,Aparthotel Senator Barcelona,7.4,"Vía Augusta, 167, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,104"
211,Exe Mitre,8.1,"Bertran, 9-15, Sarrià-St. Gervasi, 08023 Barcelona, Spain",€ 985
212,Ikonik Ramblas,8.4,"La Rambla, 22-24, Ciutat Vella, 08002 Barcelona, Spain","€ 1,492"
213,Boutique Hotel H10 Montcada,8.8,"Via Laietana, 24, Ciutat Vella, 08003 Barcelona, Spain","€ 1,222"
214,Pierre & Vacances Barcelona Sants,8.3,"Carrer de Sants, 387, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,060"
215,Le Meridien Barcelona,8.1,"Ramblas, 111, Ciutat Vella, 08002 Barcelona, Spain","€ 2,372"
216,Casual Colours Barcelona,8.0,"Avenida Josep Tarradellas, 119-121, Les Corts, 08029 Barcelona, Spain",€ 865
217,Catalonia Mikado,8.1,"Paseo Bonanova, 58, Sarrià-St. Gervasi, 08017 Barcelona, Spain",€ 714
218,NH Barcelona Les Corts,8.4,"Carrer de Nicaragua, 146, Les Corts, 08029 Barcelona, Spain","€ 1,285"
219,Hotel Ramblas Internacional,7.4,"Ramblas, 78-80, Ciutat Vella, 08002 Barcelona, Spain","€ 1,139"
220,Generator Barcelona,7.8,"Còrsega 377, Gràcia, 08037  Barcelona, Spain","€ 1,060"
221,Be Mate Paseo de Gracia,9.0,"Passeig de Gràcia, 115, Gràcia, 08008 Barcelona, Spain",€ 979
222,"Casa Consell Gran Via, Guest House",8.7,"Gran Vía de les Corts Catalanes, 688 Principal, Eixample, 08010 Barcelona, Spain","€ 1,020"
223,Hotel Santa Marta,8.5,"General Castaños, 14, Ciutat Vella, 08003 Barcelona, Spain",€ 967
224,Catalonia Rigoletto,8.5,"Sabino de Arana, 22-24, Les Corts, 08028 Barcelona, Spain",€ 840
225,Catalonia Mikado,8.1,"Paseo Bonanova, 58, Sarrià-St. Gervasi, 08017 Barcelona, Spain",€ 714
226,Pierre & Vacances Barcelona Sants,8.3,"Carrer de Sants, 387, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,060"
